project_id,project_name,department,status,start_date,end_date,budget,actual_cost,project_manager_id,priority,region
PRJ0001,MLOps Platform,Sustainability,Completed,2023-06-13,2023-12-01,1200000,907809,EMP0126,Medium,Dubai
PRJ0002,Tax Automation Platform - Q2,Marketing,In Progress,2025-02-28,,800000,795986,EMP0045,Medium,Abu Dhabi
PRJ0003,ERP Consolidation Phase 2,Legal,Completed,2023-11-21,2024-12-16,80000,56981,EMP0405,Medium,Dubai
PRJ0004,Employee Wellness App - Q1,Marketing,Completed,2024-06-09,2025-08-17,800000,707314,EMP0270,Medium,Abu Dhabi
PRJ0005,Mobile Workforce App - Q4,Finance,In Progress,2023-04-25,,2000000,1329426,EMP0478,High,Ras Al Khaimah
PRJ0006,Risk Assessment Framework Phase 2,Sustainability,In Progress,2023-09-08,,2000000,1438154,EMP0656,High,Abu Dhabi
PRJ0007,Mobile Workforce App,Finance,Completed,2022-10-17,2024-01-30,500000,437614,EMP0188,Medium,Dubai
PRJ0008,Regulatory Compliance Tool Phase 3,Finance,In Progress,2023-04-29,,200000,172385,EMP0852,Medium,Dubai
PRJ0009,IoT Sensor Network,Digital,In Progress,2022-07-24,,1200000,1115876,EMP0443,High,Sharjah
PRJ0010,Energy Optimisation Platform - Q4,Procurement,In Progress,2022-07-16,,800000,541681,EMP0909,Critical,Abu Dhabi
PRJ0011,Identity Management Upgrade - Q3,Marketing,Completed,2022-05-27,2023-01-19,1200000,1202311,EMP0682,Low,Sharjah
PRJ0012,Employee Wellness App Phase 3,HR,In Progress,2022-01-04,,800000,919001,EMP0771,Medium,Dubai
PRJ0013,HR System Upgrade Phase 3,Legal,In Progress,2024-02-26,,120000,102651,EMP0320,Medium,Dubai
PRJ0014,Tax Automation Platform Phase 3,Legal,In Progress,2024-03-26,,2000000,2201078,EMP0539,High,Abu Dhabi
PRJ0015,Recommendation System - Q1,Engineering,In Progress,2022-09-21,,2000000,1660788,EMP0517,Low,Dubai
PRJ0016,Energy Optimisation Platform - Q4,Engineering,In Progress,2023-06-14,,80000,76974,EMP0948,Critical,Dubai
PRJ0017,IoT Sensor Network Phase 3,Sustainability,On Hold,,,150000,59133,EMP0616,High,Sharjah
PRJ0018,Internal Audit Digitisation,HR,On Hold,2023-09-22,,150000,38170,EMP0727,High,Dubai
